,Title,Company Name,Location,Date,Job Type,Seneiority Level,Company Size,Industry,About The Job,Pay Range,Job URL
0,Professor,AIESEC LIMEIRA,Egypt,2 days ago,"
Full-time
",,,,"About the job Sobre a Vaga Oportunidade de intercâmbio através do Professor Global em Abu an Nawatir, Egypt Professor Global A AIESEC promove o intercâmbio Professor Global com o intuito de aprimorar jovens para a terem contato com a área do ensino, reforçando a comunicação, o desenvolvimento pessoal e profissional, além do contato com alunos nas mais diversas escolas pelo mundo. E é válido lembrar que você será remunerado Função Estamos à procura de um professor de inglês fluente e hiperativo para ensinar as crianças de 3 meses até 6 anos de idade através de maneiras divertidas e criativas para que aprendam a língua inglesa de modo adequado e em um ambiente feliz e sem estresse. Ademais, este deverá cumprir de forma consistente os requisitos legislativos e seguir o currículo educacional, além de auxiliar no treinamento, apoio, orientação, modelagem de papéis e supervisão de sua equipe de funcionários, inspirando e liderando práticas diversas. Criar um ambiente seguro, carinhoso e acolhedor no qual os pais tenham o prazer de confiar seus filhos e onde seus filhos sejam encorajados e apoiados a florescer em um ambiente propício e estimulante. Jornada de trabalho Segunda a quinta, 09:00 - 16:00 Domingo, 09:00 - 16:00 Responsabilidades Planeje, prepare e ensine Aulas bem desenvolvidas que promovam o prazer da aprendizagem; Ensine e surgindo o currículo educacional; Ser responsável pela gestão da sala, modelagem de papéis; Assegurar que as proporções de espaço estejam de acordo com a política e que as rotações sejam cumpridas, além de que os registros diários de salas e os registros de atendimento de crianças sejam precisos; Partes burocráticas no que diz respeito para a organização das informações dos estudantes Requisitos: ·        Ter de 18 a 30 anos; ·        Inglês avançado ou fluente; ·        Saber atuar em múltiplas funções. Benefícios: - Um lugar para sua acomodação já está definido e reservado, sendo este com um preço bem acessível. - 2 refeições por dia serão fornecidas durante sua estadia - Intercâmbios como este fornecem subsídios para a evolução de pessoas a todo momento, venha e se aventure, a AIESEC vai garantir o melhor para sua experiência. - Certificado do Global Talent Participant. Sobre a AIESEC: A AIESEC é a maior organização gerida por jovens no mundo, sendo esta reconhecida pela ONU (Organização das Nações Unidas), além de ter parceiros com diversas entidades, como a UNESCO. A nossa organização está presente em mais de 126 países, contribuindo com a diversificação, pluralidade e tendo contato com as mais diversas culturas que estão mundo a fora. Sendo nosso foco promover intercâmbios com o objetivo de desenvolver o jovem, promovendo não só sua liderança, mas também um networking amplo. Atualmente o mercado de trabalho exige cada vez mais do currículo de seus futuros ingressantes. Logo, possuir um intercâmbio e tudo que essa experiência irá acarretar na sua formação, se torna imprescindível. Então bora se aventurar e deixar a AIESEC conduzir você.",Pay range unavailable,https://www.linkedin.com/jobs/view/2710741602
1,web development team leader,Next Level Technology,"Qesm 2nd 6 October, Al Jizah, Egypt",2 days ago,"
Full-time
",,"
51-200 employees
",,"About the job We are looking for a web development team leader who is overseeing a project from conception to implementation, designing and developing web architecture, and providing guidance on technical issues to be responsible for monitoring and supervising a team of developers to achieve the company’s objectives. You will be responsible for providing guidance, instruction, training, and leadership skills to inspire the team to perform at their optimum. Responsibilities: Managing the day-to-day activities of the team. Motivating the team to achieve organizational goals. Developing and implementing a timeline to achieve targets. Designing and developing front-end and back-end web architecture. Developing servers and databases. Designing modules by dividing the user requirements into submodules, assigning submodules to software developers to proceed with programming the modules, and setting timeframes for task completion. Run functionality testings and debug code. Ensure our software documentation is up-to-date. Liaising & Collaborate with mobile developers to build mobile-responsive websites. Work across the entire product life cycle: concept, design, development, deployment, testing, release, support. Qualifications & Work Experience: Bachelor’s degree in any field, preferably with a computer science or engineering background 5+ years of relevant experience Good command of English Experience knowledge of Web Development Front-End Frameworks (ReactJS, NextJS, Angular TS) Excellent knowledge of DB concepts and tools (Microsoft SQL server, NoSQL databases, PostgreSQL) Excellent knowledge of Web Development Back-End Frameworks (.NET Core, Laravel, NodeJS, NestJS). Excellent knowledge of OOP (concepts, techniques, principles, analysis, and design). Excellent knowledge of design patterns. Excellent in using & managing with Managment Tools of Agile (JIRA, ASANA, TRELLO, …) Excellent knowledge of data processing and handling various types and sizes of documents and media. Excellent knowledge of ORM. Strong Experience in GIT. Strong Experience with Micro-services Architecture. Strong understanding of Live sockets. Experience in E-Commerce Business Platforms. Nice to have skills: Experience with CI/CD is a plus. Experience with iterative design and development methodology. Experience with AWS services is a plus.",Pay range unavailable,https://www.linkedin.com/jobs/view/2710742553
2,مدير تنفيذى,مملكه التعمير للمقاولات,"Cairo, Egypt",2 days ago,"
Full-time
",,,,About the job خبره ١٩ سنه اجيد القياده واداره المشاريع اتطلع الى اجود عمل فى اسرع وقت مع اقل تكلفه ممكنه,Pay range unavailable,https://www.linkedin.com/jobs/view/2710746185
3,Accepted at CMA scholarship,Louisville Chapter of the Institute of Management Accountants(IMA),"Qesm 1st Nasser City, Cairo, Egypt",2 days ago,"
Full-time
",,"
201-500 employees
",,"About the job As a CMA Scholarship recipient, I will receive a comprehensive package of benefits enabling me to study for and take the CMA exam at no cost . My benefits include: Three years of IMA membership CMA entrance and exam fees (one attempt for each exam part) Your choice of review course provider materials.",Pay range unavailable,https://www.linkedin.com/jobs/view/2710743471
4,Pharmacist,صيدلية زياد سمير,"Alexandria, Alexandria, Egypt",2 days ago,"
Full-time
",,,,About the job 3 years as a community pharmacist 👩‍⚕️,Pay range unavailable,https://www.linkedin.com/jobs/view/2709266381
5,Product Specialist,Majestic BioPharma Ltd.,"Dumyat, Egypt",2 days ago,"
Full-time
",,"
201-500 employees
",,"About the job Majestic BioPharma Ltd, a multinational company with operations in the US & UK is expanding its operation into Egypt, is in need for Qualified Product Specialists Urgently need the following areas: 1- Damietta & Portsaid Job Requirements: • Presentable & outstanding communication & sales skills • Maximum age 30 • 1 – 3 years of Proven experience in the same field • Owning a car is preferred • Results-oriented and motivated by success If you’re interested and your qualifications meet our needs please send your resume on ahmed.negm@majestic-biopharma.com please mention your area in the email subject",Pay range unavailable,https://www.linkedin.com/jobs/view/2710737761
6,Supply Chain Coordinator,Cargill,"Cairo, Cairo, Egypt",2 days ago,"
Full-time "," Entry level
","
10,001+ employees "," Food Production
","About the job Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 155,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s agricultural supply chain business, where we seamlessly connect farming customers with food, feed and industry. Job Purpose and Impact The Supply Chain Coordinator will contribute to coordinating long-term supply chain strategies across networks to address capacity issues and production location decisions in support of business goals. In this role, you will monitor key integrated business planning performance indicators, cost-to-serve performance data, and help coordinate cross-functional work teams to meet high customer-service standards. Key Accountabilities Maintain data relevant to network distribution planning activities including warehouse transfers, loading orders, quality, claims, demurrage and dispatch cases, etc. Maintains and develops relationships with small and medium-size accounts, suppliers and other business partners (e.g. Supervisory companies, insurance companies, laboratories, agents, warehouses/trucking companies). Resolves issues, answer questions and sends documents to moderately complex internal and external contacts related to loading, unloading, insurance claims, contract requirements, location and timing of the imports, and other questions/concerns. Ensures updated vessel/carrier line-up and projection schedule is maintained and communicated to necessary parties. Accepts and responds to vessel, agent, fumigation company and surveyor nominations, and updates information in the data management system, using a full understanding of trade execution practices and procedures. Independently creates information packets and sends to all interested parties (e.g. stevedore, survey company, customs broker, customer, invoicing, warehouse, etc.) Collaborates with traders/merchants and other cross-functional teams to develop a logistics execution strategy to improve business efficiency and develop customer solutions. Executes the short-term (weekly/daily) game plan in relation to the allocation of freight and inventory May participate in location visits as needed with supervisor/manager and/or team members to ensure efficient logistics execution (e.g. ports, warehouses, local authorities, and service providers). Qualifications Minimum Qualifications Bachelor's degree in a related field or equivalent experience Minimum of five years of related work experience Knowledge of trade execution practices is required Preferred Qualifications Three years of experience with at least one in supply and inventory planning We provide a fast paced stimulating international environment, which will stretch your abilities and channel your talents. We also offer competitive salary and benefits combined with outstanding career development opportunities in one of the largest and most solid private companies in the world. Interested? Then make sure to send us your CV and cover letter in English today: Follow us on LinkedIn: https://www.linkedin.com/company/cargill Cargill is committed to being an inclusive employer. Click here to find out more https://careers.cargill.com/diversity/",Pay range unavailable,https://www.linkedin.com/jobs/view/2709260454
7,ICT teacher,Al-Bashaer International School,"Cairo, Cairo, Egypt",2 days ago,"
Full-time
",,,,About the job ICT teachers with previous experience in international schools and excellent fluency level are urgently for immediate hiring.,Pay range unavailable,https://www.linkedin.com/jobs/view/2710738224
8,Head of Key Account Management,talabat,"Qesm El Maadi, Cairo, Egypt",2 days ago,"
Full-time "," Mid-Senior level
","
1,001-5,000 employees "," Internet
","About the job When you think of food delivery in the MENA region, we’d be pretty surprised if talabat didn’t pop into your mind first! Since delivering our first order in Kuwait in 2004, we’ve grown quite a lot over the past 17 years. Today, we deliver hundreds of millions of food orders, grocery items and other products per year, to our customers in nine countries throughout the region with more than 3,000+ employees! Our food delivery business works with over 27,000 brands and almost 50,000 branches, while our q-commerce concept, talabat mart, now delivers groceries to customers in Bahrain, Egypt, Jordan, Kuwait, Oman Qatar, and the UAE in 30 minutes or less! Our philosophy is to make sure we do what is right for our ecosystem - our customers, our partners, our people, our riders, and the communities in which we operate. Our #techforgood program allows our customers a safe and convenient way to contribute to important causes in their community through donating to local and international charities directly on talabat with a focus on food insecurity in the region. Since its inception in 2020, we have facilitated the donation of well over 1 million meals to those in need, as well as donated over $1.5 million to charity with the help of our partners and customers. talabat is part of Delivery Hero, the global leader in online food delivery and q-commerce. What’s On Your Plate? Responsible for Identifying growth opportunities of the Key Strategic Partners. Perform market research, build strategies and action plans to lockdown competition. Build strong relationships with each Key Strategic Partners by monitoring both, the performance and customer experience. Create cross functional engagements, relationships and understanding with necessary departments and stakeholders. Build, plan, execute key account marketing campaigns in alignment with the company Marketing team such as thefunding of NCR campaigns. Provide detailed monthly performance reports for Key Strategic Partners, Commission and Non-Commission Revenue, driven by Key Account Managers. Support the Key Account Management team in preparing strategic plans per account (including marketing plans, meeting agendas, etc). Support Key Account Managers in achieving the quarterly Objective Key Results set by higher management. What We Order? Bachelor’s Degree in Sales, Customer Relationship Management, Business Management, Business Administration, or other related fields. +7 years of experience working in key account management position within a fast-paced and highly competitive business environment. Extensive knowledge of market research and analysis. Strategic planning Strong analytical skills. Excellent Communication and Relationship Building skills. Strong leadership skills and ability to lead, develop, and motivate a team of Account Managers. Excellent English language speaker. E-commerce Experience is a plus.",Pay range unavailable,https://www.linkedin.com/jobs/view/2710725756
9,Key Account Manager - Beauty Care,Henkel,"Cairo, Cairo, Egypt",2 days ago,"
Full-time "," Mid-Senior level
","
10,001+ employees "," Consumer Goods
","About the job HENKEL IS FOR THOSE WHO STEP UP. DO YOU? At Henkel, you can make a difference and craft your career. That’s why you own your projects and take full responsibility from an early stage. Our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths. If you have an entrepreneurial mindset that allows you to always think out of the box - take the chance and shape the digital future together with us. YOUR ROLE Handle big accounts by building rapport and generating new business as well as expanding relationships with existing stakeholders Conduct and implement all the trade marketing activities Ensure that key accounts receivable are handled in alignment with company policy Achieve all sales criteria ( In market sales, distributor shipments) and sales targets Monitor Business Profitability (Growth Profit by product) to ensure that sales show positive profit as per the company policy Your Skills Bachelor's degree in Business Administration, Marketing or any relevant field 3-5 years’ of experience in modern trade preferably at a multinational FMCG Fluent English speaker Proficient user of MS Office applications An accountable & target-oriented individual who sets targets and proactively works to achieve them A skilled negotiator with leadership and numerical skills",Pay range unavailable,https://www.linkedin.com/jobs/view/2710721857
10,Channel Partner Manager- Egypt,Hach,"Cairo, Cairo, Egypt",2 days ago,"
Full-time
",,"
1,001-5,000 employees "," Environmental Services
","About the job Danaher Corporation is an ~$20 billion company that designs, manufactures and markets products and services with strong brand names, proprietary technologies and major market positions. Driven by strong core values and a foundation provided by the Danaher Business System, Danaher's associates are pursuing a focused strategy aimed at creating a Premier Global Enterprise. Danaher operates globally with about 50% of its revenues derived from outside the United States. The Company has significant operating businesses headquartered in Europe and has greatly expanded its operating presence in Asia over the past several years. Danaher is a well-capitalized business, which has historically used available cash flow to fund acquisition activity. Our consistent success is the direct result of our people and the Danaher Business System (DBS). DBS has evolved from a collection of manufacturing improvement tools into a philosophy, set of values and series of management processes that collectively define who we are and how we do what we do. Today, our DBS tools are designed to help us excel in areas of GROWTH, LEADERSHIP and LEAN. WATER QUALITY PLATFORM Danaher's Water Quality (‘WQ”) Platform is part of the Environmental & Applied Solutions reporting segment and is a global leader in water quality analysis and treatment, providing instrumentation and disinfection systems to help analyze and manage the quality of ultra-pure water, portable water, wastewater, groundwater and ocean water in residential, commercial, industrial, and natural resource applications. Our water quality business provides products under a variety of brands, including Hach, Trojan Technologies, McCrometer and ChemTreat. WQ MEA has sales offices in Dubai, Egypt and South Africa. DIVERSITY & INCLUSION : At Danaher, we are dedicated to building and sustaining a truly diverse and inclusive culture. These are not just words on a page—Diversity and Inclusion is a top priority for the company, and it ties deeply to each of our core values. Danaher Corporation and all Danaher Companies are equal opportunity employers that evaluate applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law. PURPOSE OF THE ROLE Managing Channel partners (Here below called CP) related activities to support field sales and various business initiatives for growth. Key Responsibilities: Develop Water Market in Egypt through the Channel Partners in accordance with company business strategy. CPs’ routine/performance management: annual target, scorecard, sell-through, RACI, forecasting, etc. Customers/ CP’s training and development plan and implementation Together with marketing, support CPs’ and direct marketing activities, and sales tools Participates in sales activities including customer site visits, telephone contacts, trade seminars and shows, product demonstrations and customer seminars. Collects and reports information on all competitive activity within the assigned territory. Use CRM system for customer contacts, activities, funnel management, and project management. Conduct strategic analysis for a broad range of regional topics (i.e., Market and Competitors' analyses, analysis of strategic action fields) SKILLS REQUIREMENT: BA or BS degree in Analytical Chemistry, Biology, Environment Sciences or equivalent experience > 5 years sales management and business development experience in multi-national B2B business > 3 years’ experience as an industry sale Good level of strategic, communication, diplomatic, pressure taking, commercial sense Integrity is mandatory Knowing market mandatory and products knowledge is a plus MEASURES OF PERFORMANCE: Revenue Performance improvement: Scorecard, Sell through, RACI When you join us, you’ll also be joining Danaher’s global organization, where 69,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization. At Danaher, we value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes. If you’ve ever wondered what’s within you, there’s no better time to find out.",Pay range unavailable,https://www.linkedin.com/jobs/view/2714641635
